the_first_song,the_second_song,word1,word2,result
Harder Better Faster Stronger,Ebonics,harder,ebonics,0
Harder Better Faster Stronger,Ebonics,harder,big,0
Harder Better Faster Stronger,Ebonics,harder,picture,0
Harder Better Faster Stronger,Ebonics,better,ebonics,0.23529411764705882
Harder Better Faster Stronger,Ebonics,better,big,0
Harder Better Faster Stronger,Ebonics,better,picture,0.14285714285714285
Harder Better Faster Stronger,Ebonics,faster,ebonics,0
Harder Better Faster Stronger,Ebonics,faster,big,0
Harder Better Faster Stronger,Ebonics,faster,picture,0
Harder Better Faster Stronger,Ebonics,stronger,ebonics,0
Harder Better Faster Stronger,Ebonics,stronger,big,0
Harder Better Faster Stronger,Ebonics,stronger,picture,0
Harder Better Faster Stronger,Ebonics,discovery,ebonics,0.23529411764705882
Harder Better Faster Stronger,Ebonics,discovery,big,0
Harder Better Faster Stronger,Ebonics,discovery,picture,0.14285714285714285
Harder Better Faster Stronger,Joe Dallesandro,harder,jumping,0
Harder Better Faster Stronger,Joe Dallesandro,harder,cars,0
Harder Better Faster Stronger,Joe Dallesandro,better,jumping,0.25
Harder Better Faster Stronger,Joe Dallesandro,better,cars,0.11764705882352941
Harder Better Faster Stronger,Joe Dallesandro,faster,jumping,0
Harder Better Faster Stronger,Joe Dallesandro,faster,cars,0
Harder Better Faster Stronger,Joe Dallesandro,stronger,jumping,0
Harder Better Faster Stronger,Joe Dallesandro,stronger,cars,0
Harder Better Faster Stronger,Joe Dallesandro,discovery,jumping,0.625
Harder Better Faster Stronger,Joe Dallesandro,discovery,cars,0.11764705882352941
Harder Better Faster Stronger,Born To Roll,harder,roll,0
Harder Better Faster Stronger,Born To Roll,harder,born,0
Harder Better Faster Stronger,Born To Roll,harder,chrome,0
Harder Better Faster Stronger,Born To Roll,better,roll,0.26666666666666666
Harder Better Faster Stronger,Born To Roll,better,born,0.14285714285714285
Harder Better Faster Stronger,Born To Roll,better,chrome,0.26666666666666666
Harder Better Faster Stronger,Born To Roll,faster,roll,0
Harder Better Faster Stronger,Born To Roll,faster,born,0
Harder Better Faster Stronger,Born To Roll,faster,chrome,0
Harder Better Faster Stronger,Born To Roll,stronger,roll,0
Harder Better Faster Stronger,Born To Roll,stronger,born,0
Harder Better Faster Stronger,Born To Roll,stronger,chrome,0
Harder Better Faster Stronger,Born To Roll,discovery,roll,0.5333333333333333
Harder Better Faster Stronger,Born To Roll,discovery,born,0.14285714285714285
Harder Better Faster Stronger,Born To Roll,discovery,chrome,0.26666666666666666
Harder Better Faster Stronger,The Man Who Sold The World,harder,world,0
Harder Better Faster Stronger,The Man Who Sold The World,harder,sold,0
Harder Better Faster Stronger,The Man Who Sold The World,harder,man,0
Harder Better Faster Stronger,The Man Who Sold The World,harder,new,0
Harder Better Faster Stronger,The Man Who Sold The World,harder,york,0
Harder Better Faster Stronger,The Man Who Sold The World,harder,unplugged,0
Harder Better Faster Stronger,The Man Who Sold The World,better,world,0.16666666666666666
Harder Better Faster Stronger,The Man Who Sold The World,better,sold,0
Harder Better Faster Stronger,The Man Who Sold The World,better,man,0.16666666666666666
Harder Better Faster Stronger,The Man Who Sold The World,better,new,0
Harder Better Faster Stronger,The Man Who Sold The World,better,york,0.25
Harder Better Faster Stronger,The Man Who Sold The World,better,unplugged,0
Harder Better Faster Stronger,The Man Who Sold The World,faster,world,0
Harder Better Faster Stronger,The Man Who Sold The World,faster,sold,0
