the_first_song,the_second_song,word1,word2,result
Rocket In The Sky ,Such Great Heights,sky,great,0.3076923076923077
Rocket In The Sky ,Such Great Heights,sky,heights,0.2857142857142857
Rocket In The Sky ,Such Great Heights,sky,anatomy,0.1
Rocket In The Sky ,Such Great Heights,sky,original,0.2857142857142857
Rocket In The Sky ,Such Great Heights,sky,soundtrack,0.2222222222222222
Rocket In The Sky ,Such Great Heights,sky,grey,0.2857142857142857
Rocket In The Sky ,Such Great Heights,rocket,great,0.4444444444444444
Rocket In The Sky ,Such Great Heights,rocket,heights,0.375
Rocket In The Sky ,Such Great Heights,rocket,anatomy,0.09090909090909091
Rocket In The Sky ,Such Great Heights,rocket,original,0.625
Rocket In The Sky ,Such Great Heights,rocket,soundtrack,0.6
Rocket In The Sky ,Such Great Heights,rocket,grey,0.42105263157894735
Rocket In The Sky ,Such Great Heights,sky,great,0.3076923076923077
Rocket In The Sky ,Such Great Heights,sky,heights,0.2857142857142857
Rocket In The Sky ,Such Great Heights,sky,anatomy,0.1
Rocket In The Sky ,Such Great Heights,sky,original,0.2857142857142857
Rocket In The Sky ,Such Great Heights,sky,soundtrack,0.2222222222222222
Rocket In The Sky ,Such Great Heights,sky,grey,0.2857142857142857
Rocket In The Sky ,Such Great Heights,single,great,0.11764705882352941
Rocket In The Sky ,Such Great Heights,single,heights,0.1111111111111111
Rocket In The Sky ,Such Great Heights,single,anatomy,0.25
Rocket In The Sky ,Such Great Heights,single,original,0.1111111111111111
Rocket In The Sky ,Such Great Heights,single,soundtrack,0.09090909090909091
Rocket In The Sky ,Such Great Heights,single,grey,0.1111111111111111
Rocket In The Sky ,Such Great Heights,rocket,great,0.4444444444444444
Rocket In The Sky ,Such Great Heights,rocket,heights,0.375
Rocket In The Sky ,Such Great Heights,rocket,anatomy,0.09090909090909091
Rocket In The Sky ,Such Great Heights,rocket,original,0.625
Rocket In The Sky ,Such Great Heights,rocket,soundtrack,0.6
Rocket In The Sky ,Such Great Heights,rocket,grey,0.42105263157894735
Rocket In The Sky ,TTHHEE PPAARRTTYY,sky,justice,0.14285714285714285
Rocket In The Sky ,TTHHEE PPAARRTTYY,rocket,justice,0.125
Rocket In The Sky ,TTHHEE PPAARRTTYY,sky,justice,0.14285714285714285
Rocket In The Sky ,TTHHEE PPAARRTTYY,single,justice,0.2222222222222222
Rocket In The Sky ,TTHHEE PPAARRTTYY,rocket,justice,0.125
Rocket In The Sky ,One Minute To Midnight,sky,one,0.13333333333333333
Rocket In The Sky ,One Minute To Midnight,sky,minute,0.16666666666666666
Rocket In The Sky ,One Minute To Midnight,sky,midnight,0.11764705882352941
Rocket In The Sky ,One Minute To Midnight,sky,justice,0.14285714285714285
Rocket In The Sky ,One Minute To Midnight,rocket,one,0.11764705882352941
Rocket In The Sky ,One Minute To Midnight,rocket,minute,0.14285714285714285
Rocket In The Sky ,One Minute To Midnight,rocket,midnight,0.10526315789473684
Rocket In The Sky ,One Minute To Midnight,rocket,justice,0.125
Rocket In The Sky ,One Minute To Midnight,sky,one,0.13333333333333333
Rocket In The Sky ,One Minute To Midnight,sky,minute,0.16666666666666666
Rocket In The Sky ,One Minute To Midnight,sky,midnight,0.11764705882352941
Rocket In The Sky ,One Minute To Midnight,sky,justice,0.14285714285714285
Rocket In The Sky ,One Minute To Midnight,single,one,0.21052631578947367
Rocket In The Sky ,One Minute To Midnight,single,minute,0.25
Rocket In The Sky ,One Minute To Midnight,single,midnight,0.2857142857142857
Rocket In The Sky ,One Minute To Midnight,single,justice,0.2222222222222222
Rocket In The Sky ,One Minute To Midnight,rocket,one,0.11764705882352941
Rocket In The Sky ,One Minute To Midnight,rocket,minute,0.14285714285714285
Rocket In The Sky ,One Minute To Midnight,rocket,midnight,0.10526315789473684
Rocket In The Sky ,One Minute To Midnight,rocket,justice,0.125
Rocket In The Sky ,Neon Knights,sky,neon,0.7142857142857143
Rocket In The Sky ,Neon Knights,sky,knights,0.26666666666666666
Rocket In The Sky ,Neon Knights,sky,looks,0.14285714285714285
Rocket In The Sky ,Neon Knights,rocket,neon,0.26666666666666666
Rocket In The Sky ,Neon Knights,rocket,knights,0.4
Rocket In The Sky ,Neon Knights,rocket,looks,0.125
Rocket In The Sky ,Neon Knights,sky,neon,0.7142857142857143
Rocket In The Sky ,Neon Knights,sky,knights,0.26666666666666666
Rocket In The Sky ,Neon Knights,sky,looks,0.14285714285714285
Rocket In The Sky ,Neon Knights,single,neon,0.2222222222222222
Rocket In The Sky ,Neon Knights,single,knights,0.10526315789473684
Rocket In The Sky ,Neon Knights,single,looks,0.2222222222222222
Rocket In The Sky ,Neon Knights,rocket,neon,0.26666666666666666
Rocket In The Sky ,Neon Knights,rocket,knights,0.4
Rocket In The Sky ,Neon Knights,rocket,looks,0.125
Rocket In The Sky ,The Funeral (Album Version),sky,album,0.26666666666666666
Rocket In The Sky ,The Funeral (Album Version),sky,version,0.13333333333333333
Rocket In The Sky ,The Funeral (Album Version),sky,funeral,0.13333333333333333
Rocket In The Sky ,The Funeral (Album Version),sky,television,0.23529411764705882
Rocket In The Sky ,The Funeral (Album Version),sky,series,0.15384615384615385
Rocket In The Sky ,The Funeral (Album Version),sky,one,0.13333333333333333
Rocket In The Sky ,The Funeral (Album Version),sky,tree,0.23529411764705882
Rocket In The Sky ,The Funeral (Album Version),sky,hill,0.3076923076923077
Rocket In The Sky ,The Funeral (Album Version),sky,road,0.2857142857142857
Rocket In The Sky ,The Funeral (Album Version),sky,mix,0.4
Rocket In The Sky ,The Funeral (Album Version),sky,music,0.16666666666666666
Rocket In The Sky ,The Funeral (Album Version),rocket,album,0.7058823529411765
Rocket In The Sky ,The Funeral (Album Version),rocket,version,0.11764705882352941
Rocket In The Sky ,The Funeral (Album Version),rocket,funeral,0.11764705882352941
Rocket In The Sky ,The Funeral (Album Version),rocket,television,0.631578947368421
