the_first_song,the_second_song,word1,word2,result
Swallowed In The Sea,Harder Better Faster Stronger,swallowed,harder,0.4
Swallowed In The Sea,Harder Better Faster Stronger,swallowed,better,0.2
Swallowed In The Sea,Harder Better Faster Stronger,swallowed,faster,0.4
Swallowed In The Sea,Harder Better Faster Stronger,swallowed,stronger,0.4
Swallowed In The Sea,Harder Better Faster Stronger,swallowed,discovery,0.2
Swallowed In The Sea,Harder Better Faster Stronger,sea,harder,0
Swallowed In The Sea,Harder Better Faster Stronger,sea,better,0.18181818181818182
Swallowed In The Sea,Harder Better Faster Stronger,sea,faster,0
Swallowed In The Sea,Harder Better Faster Stronger,sea,stronger,0
Swallowed In The Sea,Harder Better Faster Stronger,sea,discovery,0.18181818181818182
Swallowed In The Sea,Harder Better Faster Stronger,x,harder,0
Swallowed In The Sea,Harder Better Faster Stronger,x,better,0.2857142857142857
Swallowed In The Sea,Harder Better Faster Stronger,x,faster,0
Swallowed In The Sea,Harder Better Faster Stronger,x,stronger,0
Swallowed In The Sea,Harder Better Faster Stronger,x,discovery,0.2857142857142857
Swallowed In The Sea,Jumping Jack Flash,swallowed,jumping,0.14285714285714285
Swallowed In The Sea,Jumping Jack Flash,swallowed,jack,0.2
Swallowed In The Sea,Jumping Jack Flash,swallowed,flash,0.2
Swallowed In The Sea,Jumping Jack Flash,swallowed,shine,0.16666666666666666
Swallowed In The Sea,Jumping Jack Flash,swallowed,light,0.13333333333333333
Swallowed In The Sea,Jumping Jack Flash,sea,jumping,0.13333333333333333
Swallowed In The Sea,Jumping Jack Flash,sea,jack,0.18181818181818182
Swallowed In The Sea,Jumping Jack Flash,sea,flash,0.18181818181818182
Swallowed In The Sea,Jumping Jack Flash,sea,shine,0.15384615384615385
Swallowed In The Sea,Jumping Jack Flash,sea,light,0.25
Swallowed In The Sea,Jumping Jack Flash,x,jumping,0.2222222222222222
Swallowed In The Sea,Jumping Jack Flash,x,jack,0.42857142857142855
Swallowed In The Sea,Jumping Jack Flash,x,flash,0.2857142857142857
Swallowed In The Sea,Jumping Jack Flash,x,shine,0.25
Swallowed In The Sea,Jumping Jack Flash,x,light,0.10526315789473684
Swallowed In The Sea,5th Gear,swallowed,gear,0.125
Swallowed In The Sea,5th Gear,swallowed,cocaine,0.16666666666666666
Swallowed In The Sea,5th Gear,swallowed,raps,0.15384615384615385
Swallowed In The Sea,5th Gear,swallowed,cocaine,0.16666666666666666
Swallowed In The Sea,5th Gear,swallowed,inc,0.18181818181818182
Swallowed In The Sea,5th Gear,sea,gear,0.23529411764705882
Swallowed In The Sea,5th Gear,sea,cocaine,0.3076923076923077
Swallowed In The Sea,5th Gear,sea,raps,0.14285714285714285
Swallowed In The Sea,5th Gear,sea,cocaine,0.3076923076923077
Swallowed In The Sea,5th Gear,sea,inc,0.16666666666666666
Swallowed In The Sea,5th Gear,x,gear,0.1
Swallowed In The Sea,5th Gear,x,cocaine,0.125
Swallowed In The Sea,5th Gear,x,raps,0.23529411764705882
Swallowed In The Sea,5th Gear,x,cocaine,0.125
Swallowed In The Sea,5th Gear,x,inc,0.26666666666666666
Swallowed In The Sea,Hold It Now_ Hit It,swallowed,hit,0.15384615384615385
Swallowed In The Sea,Hold It Now_ Hit It,swallowed,hold,0.15384615384615385
Swallowed In The Sea,Hold It Now_ Hit It,swallowed,licensed,0.2
Swallowed In The Sea,Hold It Now_ Hit It,swallowed,ill,0.16666666666666666
Swallowed In The Sea,Hold It Now_ Hit It,sea,hit,0.14285714285714285
Swallowed In The Sea,Hold It Now_ Hit It,sea,hold,0.14285714285714285
Swallowed In The Sea,Hold It Now_ Hit It,sea,licensed,0
Swallowed In The Sea,Hold It Now_ Hit It,sea,ill,0.15384615384615385
Swallowed In The Sea,Hold It Now_ Hit It,x,hit,0.23529411764705882
Swallowed In The Sea,Hold It Now_ Hit It,x,hold,0.23529411764705882
Swallowed In The Sea,Hold It Now_ Hit It,x,licensed,0
Swallowed In The Sea,Hold It Now_ Hit It,x,ill,0.25
Swallowed In The Sea,She's Crafty,swallowed,crafty,0.4
Swallowed In The Sea,She's Crafty,swallowed,licensed,0.2
Swallowed In The Sea,She's Crafty,swallowed,ill,0.16666666666666666
Swallowed In The Sea,She's Crafty,sea,crafty,0
Swallowed In The Sea,She's Crafty,sea,licensed,0
Swallowed In The Sea,She's Crafty,sea,ill,0.15384615384615385
Swallowed In The Sea,She's Crafty,x,crafty,0
Swallowed In The Sea,She's Crafty,x,licensed,0
Swallowed In The Sea,She's Crafty,x,ill,0.25
Swallowed In The Sea,You Be Illin',swallowed,raising,0.15384615384615385
Swallowed In The Sea,You Be Illin',swallowed,hell,0.2
Swallowed In The Sea,You Be Illin',sea,raising,0.14285714285714285
Swallowed In The Sea,You Be Illin',sea,hell,0.36363636363636365
Swallowed In The Sea,You Be Illin',x,raising,0.23529411764705882
Swallowed In The Sea,You Be Illin',x,hell,0.14285714285714285
Swallowed In The Sea,Aerodynamic,swallowed,aerodynamic,0.4
Swallowed In The Sea,Aerodynamic,swallowed,discovery,0.2
Swallowed In The Sea,Aerodynamic,sea,aerodynamic,0
Swallowed In The Sea,Aerodynamic,sea,discovery,0.18181818181818182
Swallowed In The Sea,Aerodynamic,x,aerodynamic,0
Swallowed In The Sea,Aerodynamic,x,discovery,0.2857142857142857
Swallowed In The Sea,You Know What You Are?,swallowed,know,0.16666666666666666
Swallowed In The Sea,You Know What You Are?,swallowed,teeth,0.2
Swallowed In The Sea,You Know What You Are?,sea,know,0.15384615384615385
Swallowed In The Sea,You Know What You Are?,sea,teeth,0.18181818181818182
Swallowed In The Sea,You Know What You Are?,x,know,0.25
Swallowed In The Sea,You Know What You Are?,x,teeth,0.2857142857142857
Swallowed In The Sea,Indo Silver Club,swallowed,silver,0.18181818181818182
Swallowed In The Sea,Indo Silver Club,swallowed,club,0.15384615384615385
Swallowed In The Sea,Indo Silver Club,swallowed,homework,0.13333333333333333
Swallowed In The Sea,Indo Silver Club,sea,silver,0.3333333333333333
Swallowed In The Sea,Indo Silver Club,sea,club,0.14285714285714285
Swallowed In The Sea,Indo Silver Club,sea,homework,0.125
Swallowed In The Sea,Indo Silver Club,x,silver,0.25
Swallowed In The Sea,Indo Silver Club,x,club,0.23529411764705882
Swallowed In The Sea,Indo Silver Club,x,homework,0.21052631578947367
Swallowed In The Sea,Steam Machine,swallowed,steam,0.16666666666666666
Swallowed In The Sea,Steam Machine,swallowed,machine,0.16666666666666666
Swallowed In The Sea,Steam Machine,swallowed,human,0.1111111111111111
Swallowed In The Sea,Steam Machine,sea,steam,0.3076923076923077
Swallowed In The Sea,Steam Machine,sea,machine,0.3076923076923077
Swallowed In The Sea,Steam Machine,sea,human,0.21052631578947367
Swallowed In The Sea,Steam Machine,x,steam,0.23529411764705882
Swallowed In The Sea,Steam Machine,x,machine,0.125
Swallowed In The Sea,Steam Machine,x,human,0.09090909090909091
Swallowed In The Sea,High Life,swallowed,high,0.2
Swallowed In The Sea,High Life,swallowed,life,0.2
Swallowed In The Sea,High Life,swallowed,discovery,0.2
Swallowed In The Sea,High Life,sea,high,0.18181818181818182
Swallowed In The Sea,High Life,sea,life,0.18181818181818182
Swallowed In The Sea,High Life,sea,discovery,0.18181818181818182
Swallowed In The Sea,High Life,x,high,0.2857142857142857
Swallowed In The Sea,High Life,x,life,0.2857142857142857
Swallowed In The Sea,High Life,x,discovery,0.2857142857142857
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],swallowed,radio,0.14285714285714285
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],swallowed,edit,0.3333333333333333
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],swallowed,n,0.2
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],swallowed,e,0.18181818181818182
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],swallowed,c,0.16666666666666666
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],swallowed,n,0.2
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],swallowed,e,0.18181818181818182
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],swallowed,c,0.16666666666666666
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],sea,radio,0.26666666666666666
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],sea,edit,0
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],sea,n,0.36363636363636365
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],sea,e,0.3333333333333333
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],sea,c,0.15384615384615385
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],sea,n,0.36363636363636365
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],sea,e,0.3333333333333333
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],sea,c,0.15384615384615385
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],x,radio,0.1111111111111111
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],x,edit,0
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],x,n,0.26666666666666666
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],x,e,0.13333333333333333
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],x,c,0.5
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],x,n,0.26666666666666666
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],x,e,0.13333333333333333
Swallowed In The Sea,D.A.N.C.E. [Radio Edit],x,c,0.5
Swallowed In The Sea,Emotion,swallowed,emotion,0.2
Swallowed In The Sea,Emotion,swallowed,human,0.1111111111111111
