the_first_song,the_second_song,word1,word2,result
Harder Better Faster Stronger,Mass Appeal (Explicit),harder,mass,0
Harder Better Faster Stronger,Mass Appeal (Explicit),harder,appeal,0
Harder Better Faster Stronger,Mass Appeal (Explicit),harder,explicit,0
Harder Better Faster Stronger,Mass Appeal (Explicit),harder,gang,0
Harder Better Faster Stronger,Mass Appeal (Explicit),harder,starr,0
Harder Better Faster Stronger,Mass Appeal (Explicit),harder,full,0
Harder Better Faster Stronger,Mass Appeal (Explicit),harder,clip,0
Harder Better Faster Stronger,Mass Appeal (Explicit),harder,decade,0
Harder Better Faster Stronger,Mass Appeal (Explicit),better,mass,0.5
Harder Better Faster Stronger,Mass Appeal (Explicit),better,appeal,0.2857142857142857
Harder Better Faster Stronger,Mass Appeal (Explicit),better,explicit,0
Harder Better Faster Stronger,Mass Appeal (Explicit),better,gang,0.3076923076923077
Harder Better Faster Stronger,Mass Appeal (Explicit),better,starr,0.125
Harder Better Faster Stronger,Mass Appeal (Explicit),better,full,0.5714285714285714
Harder Better Faster Stronger,Mass Appeal (Explicit),better,clip,0.11764705882352941
Harder Better Faster Stronger,Mass Appeal (Explicit),better,decade,0.3333333333333333
Harder Better Faster Stronger,Mass Appeal (Explicit),faster,mass,0
Harder Better Faster Stronger,Mass Appeal (Explicit),faster,appeal,0
Harder Better Faster Stronger,Mass Appeal (Explicit),faster,explicit,0
Harder Better Faster Stronger,Mass Appeal (Explicit),faster,gang,0
Harder Better Faster Stronger,Mass Appeal (Explicit),faster,starr,0
Harder Better Faster Stronger,Mass Appeal (Explicit),faster,full,0
Harder Better Faster Stronger,Mass Appeal (Explicit),faster,clip,0
Harder Better Faster Stronger,Mass Appeal (Explicit),faster,decade,0
Harder Better Faster Stronger,Mass Appeal (Explicit),stronger,mass,0
Harder Better Faster Stronger,Mass Appeal (Explicit),stronger,appeal,0
Harder Better Faster Stronger,Mass Appeal (Explicit),stronger,explicit,0
Harder Better Faster Stronger,Mass Appeal (Explicit),stronger,gang,0
Harder Better Faster Stronger,Mass Appeal (Explicit),stronger,starr,0
Harder Better Faster Stronger,Mass Appeal (Explicit),stronger,full,0
Harder Better Faster Stronger,Mass Appeal (Explicit),stronger,clip,0
Harder Better Faster Stronger,Mass Appeal (Explicit),stronger,decade,0
Harder Better Faster Stronger,Mass Appeal (Explicit),discovery,mass,0.36363636363636365
Harder Better Faster Stronger,Mass Appeal (Explicit),discovery,appeal,0.7142857142857143
Harder Better Faster Stronger,Mass Appeal (Explicit),discovery,explicit,0
Harder Better Faster Stronger,Mass Appeal (Explicit),discovery,gang,0.3076923076923077
Harder Better Faster Stronger,Mass Appeal (Explicit),discovery,starr,0.125
Harder Better Faster Stronger,Mass Appeal (Explicit),discovery,full,0.3076923076923077
Harder Better Faster Stronger,Mass Appeal (Explicit),discovery,clip,0.11764705882352941
Harder Better Faster Stronger,Mass Appeal (Explicit),discovery,decade,0.3333333333333333
Harder Better Faster Stronger,Reason,harder,reason,0
Harder Better Faster Stronger,Reason,harder,shawn,0
Harder Better Faster Stronger,Reason,harder,double,0
Harder Better Faster Stronger,Reason,harder,take,0
Harder Better Faster Stronger,Reason,better,reason,0.3333333333333333
Harder Better Faster Stronger,Reason,better,shawn,0.15384615384615385
Harder Better Faster Stronger,Reason,better,double,0.23529411764705882
Harder Better Faster Stronger,Reason,better,take,0.25
Harder Better Faster Stronger,Reason,faster,reason,0
Harder Better Faster Stronger,Reason,faster,shawn,0
Harder Better Faster Stronger,Reason,faster,double,0
Harder Better Faster Stronger,Reason,faster,take,0
Harder Better Faster Stronger,Reason,stronger,reason,0
Harder Better Faster Stronger,Reason,stronger,shawn,0
Harder Better Faster Stronger,Reason,stronger,double,0
Harder Better Faster Stronger,Reason,stronger,take,0
Harder Better Faster Stronger,Reason,discovery,reason,0.5
Harder Better Faster Stronger,Reason,discovery,shawn,0.15384615384615385
Harder Better Faster Stronger,Reason,discovery,double,0.5882352941176471
Harder Better Faster Stronger,Reason,discovery,take,0.25
Harder Better Faster Stronger,Winter,harder,winter,0
Harder Better Faster Stronger,Winter,harder,roots,0
Harder Better Faster Stronger,Winter,better,winter,0.3076923076923077
Harder Better Faster Stronger,Winter,better,roots,0.5
Harder Better Faster Stronger,Winter,faster,winter,0
Harder Better Faster Stronger,Winter,faster,roots,0
Harder Better Faster Stronger,Winter,stronger,winter,0
Harder Better Faster Stronger,Winter,stronger,roots,0
Harder Better Faster Stronger,Winter,discovery,winter,0.3076923076923077
Harder Better Faster Stronger,Winter,discovery,roots,0.3333333333333333
Harder Better Faster Stronger,Bliss,harder,bliss,0
Harder Better Faster Stronger,Bliss,harder,symmetry,0
Harder Better Faster Stronger,Bliss,harder,origin,0
Harder Better Faster Stronger,Bliss,better,bliss,0.42857142857142855
Harder Better Faster Stronger,Bliss,better,symmetry,0.5
Harder Better Faster Stronger,Bliss,better,origin,0.16666666666666666
Harder Better Faster Stronger,Bliss,faster,bliss,0
Harder Better Faster Stronger,Bliss,faster,symmetry,0
Harder Better Faster Stronger,Bliss,faster,origin,0
Harder Better Faster Stronger,Bliss,stronger,bliss,0
Harder Better Faster Stronger,Bliss,stronger,symmetry,0
Harder Better Faster Stronger,Bliss,stronger,origin,0
Harder Better Faster Stronger,Bliss,discovery,bliss,0.2857142857142857
Harder Better Faster Stronger,Bliss,discovery,symmetry,0.3333333333333333
Harder Better Faster Stronger,Bliss,discovery,origin,0.16666666666666666
Harder Better Faster Stronger,Highness,harder,highness,0
Harder Better Faster Stronger,Highness,harder,highness,0
Harder Better Faster Stronger,Highness,better,highness,0.15384615384615385
Harder Better Faster Stronger,Highness,better,highness,0.15384615384615385
Harder Better Faster Stronger,Highness,faster,highness,0
Harder Better Faster Stronger,Highness,faster,highness,0
Harder Better Faster Stronger,Highness,stronger,highness,0
Harder Better Faster Stronger,Highness,stronger,highness,0
Harder Better Faster Stronger,Highness,discovery,highness,0.15384615384615385
Harder Better Faster Stronger,Highness,discovery,highness,0.15384615384615385
Harder Better Faster Stronger,Four Word Letter (pt. 2),harder,four,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),harder,word,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),harder,letter,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),harder,pt,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),harder,us,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),harder,foxes,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),harder,catch,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),better,four,0.2857142857142857
Harder Better Faster Stronger,Four Word Letter (pt. 2),better,word,0.3333333333333333
Harder Better Faster Stronger,Four Word Letter (pt. 2),better,letter,0.2857142857142857
Harder Better Faster Stronger,Four Word Letter (pt. 2),better,pt,0.26666666666666666
Harder Better Faster Stronger,Four Word Letter (pt. 2),better,us,0.125
Harder Better Faster Stronger,Four Word Letter (pt. 2),better,foxes,0.1
Harder Better Faster Stronger,Four Word Letter (pt. 2),better,catch,0.5333333333333333
Harder Better Faster Stronger,Four Word Letter (pt. 2),faster,four,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),faster,word,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),faster,letter,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),faster,pt,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),faster,us,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),faster,foxes,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),faster,catch,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),stronger,four,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),stronger,word,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),stronger,letter,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),stronger,pt,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),stronger,us,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),stronger,foxes,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),stronger,catch,0
Harder Better Faster Stronger,Four Word Letter (pt. 2),discovery,four,0.2857142857142857
Harder Better Faster Stronger,Four Word Letter (pt. 2),discovery,word,0.3333333333333333
Harder Better Faster Stronger,Four Word Letter (pt. 2),discovery,letter,0.2857142857142857
Harder Better Faster Stronger,Four Word Letter (pt. 2),discovery,pt,0.26666666666666666
Harder Better Faster Stronger,Four Word Letter (pt. 2),discovery,us,0.125
Harder Better Faster Stronger,Four Word Letter (pt. 2),discovery,foxes,0.1
Harder Better Faster Stronger,Four Word Letter (pt. 2),discovery,catch,0.26666666666666666
Harder Better Faster Stronger,Damelo,harder,give,0
Harder Better Faster Stronger,Damelo,harder,blood,0
Harder Better Faster Stronger,Damelo,better,give,0.46153846153846156
Harder Better Faster Stronger,Damelo,better,blood,0.2857142857142857
Harder Better Faster Stronger,Damelo,faster,give,0
Harder Better Faster Stronger,Damelo,faster,blood,0
Harder Better Faster Stronger,Damelo,stronger,give,0
Harder Better Faster Stronger,Damelo,stronger,blood,0
Harder Better Faster Stronger,Damelo,discovery,give,0.3076923076923077
Harder Better Faster Stronger,Damelo,discovery,blood,0.2857142857142857
Harder Better Faster Stronger,Airplanes,harder,airplanes,0
Harder Better Faster Stronger,Airplanes,harder,gorilla,0
Harder Better Faster Stronger,Airplanes,harder,manor,0
Harder Better Faster Stronger,Airplanes,better,airplanes,0.1111111111111111
Harder Better Faster Stronger,Airplanes,better,gorilla,0.09090909090909091
Harder Better Faster Stronger,Airplanes,better,manor,0.125
Harder Better Faster Stronger,Airplanes,faster,airplanes,0
Harder Better Faster Stronger,Airplanes,faster,gorilla,0
Harder Better Faster Stronger,Airplanes,faster,manor,0
Harder Better Faster Stronger,Airplanes,stronger,airplanes,0
