the_first_song,the_second_song,word1,word2,result
Swallowed In The Sea,Niño Bomba,swallowed,bomb,0.16666666666666666
Swallowed In The Sea,Niño Bomba,swallowed,boy,0.18181818181818182
Swallowed In The Sea,Niño Bomba,swallowed,b,0.14285714285714285
Swallowed In The Sea,Niño Bomba,swallowed,sides,0.2
Swallowed In The Sea,Niño Bomba,swallowed,tasty,0.4
Swallowed In The Sea,Niño Bomba,sea,bomb,0.3076923076923077
Swallowed In The Sea,Niño Bomba,sea,boy,0.36363636363636365
Swallowed In The Sea,Niño Bomba,sea,b,0.26666666666666666
Swallowed In The Sea,Niño Bomba,sea,sides,0.36363636363636365
Swallowed In The Sea,Niño Bomba,sea,tasty,0
Swallowed In The Sea,Niño Bomba,x,bomb,0.125
Swallowed In The Sea,Niño Bomba,x,boy,0.14285714285714285
Swallowed In The Sea,Niño Bomba,x,b,0.1111111111111111
Swallowed In The Sea,Niño Bomba,x,sides,0.14285714285714285
Swallowed In The Sea,Niño Bomba,x,tasty,0
Swallowed In The Sea,Not Miserable,swallowed,miserable,0.4
Swallowed In The Sea,Not Miserable,swallowed,mixed,0.2857142857142857
Swallowed In The Sea,Not Miserable,swallowed,drinks,0.18181818181818182
Swallowed In The Sea,Not Miserable,swallowed,winter,0.18181818181818182
Swallowed In The Sea,Not Miserable,sea,miserable,0
Swallowed In The Sea,Not Miserable,sea,mixed,0
Swallowed In The Sea,Not Miserable,sea,drinks,0.16666666666666666
Swallowed In The Sea,Not Miserable,sea,winter,0.16666666666666666
Swallowed In The Sea,Not Miserable,x,miserable,0
Swallowed In The Sea,Not Miserable,x,mixed,0
Swallowed In The Sea,Not Miserable,x,drinks,0.4
Swallowed In The Sea,Not Miserable,x,winter,0.4
Swallowed In The Sea,Mandarine Girl,swallowed,girl,0.16666666666666666
Swallowed In The Sea,Mandarine Girl,swallowed,girl,0.16666666666666666
Swallowed In The Sea,Mandarine Girl,sea,girl,0.3333333333333333
Swallowed In The Sea,Mandarine Girl,sea,girl,0.3333333333333333
Swallowed In The Sea,Mandarine Girl,x,girl,0.13333333333333333
Swallowed In The Sea,Mandarine Girl,x,girl,0.13333333333333333
Swallowed In The Sea,Born Slippy,swallowed,born,0.15384615384615385
Swallowed In The Sea,Born Slippy,swallowed,slippy,0.4
Swallowed In The Sea,Born Slippy,swallowed,classic,0.18181818181818182
Swallowed In The Sea,Born Slippy,swallowed,big,0.4
Swallowed In The Sea,Born Slippy,swallowed,tunes,0.2
Swallowed In The Sea,Born Slippy,sea,born,0.3076923076923077
Swallowed In The Sea,Born Slippy,sea,slippy,0
Swallowed In The Sea,Born Slippy,sea,classic,0.3333333333333333
Swallowed In The Sea,Born Slippy,sea,big,0
Swallowed In The Sea,Born Slippy,sea,tunes,0.18181818181818182
Swallowed In The Sea,Born Slippy,x,born,0.125
Swallowed In The Sea,Born Slippy,x,slippy,0
Swallowed In The Sea,Born Slippy,x,classic,0.13333333333333333
Swallowed In The Sea,Born Slippy,x,big,0
