the_first_song,the_second_song,word1,word2,result
Rocket In The Sky ,Lola's Theme (Main Mix),sky,main,0.3333333333333333
Rocket In The Sky ,Lola's Theme (Main Mix),sky,mix,0.4
Rocket In The Sky ,Lola's Theme (Main Mix),sky,theme,0.16666666666666666
Rocket In The Sky ,Lola's Theme (Main Mix),sky,theme,0.16666666666666666
Rocket In The Sky ,Lola's Theme (Main Mix),rocket,main,0.2857142857142857
Rocket In The Sky ,Lola's Theme (Main Mix),rocket,mix,0.23529411764705882
Rocket In The Sky ,Lola's Theme (Main Mix),rocket,theme,0.14285714285714285
Rocket In The Sky ,Lola's Theme (Main Mix),rocket,theme,0.14285714285714285
Rocket In The Sky ,Lola's Theme (Main Mix),sky,main,0.3333333333333333
Rocket In The Sky ,Lola's Theme (Main Mix),sky,mix,0.4
Rocket In The Sky ,Lola's Theme (Main Mix),sky,theme,0.16666666666666666
Rocket In The Sky ,Lola's Theme (Main Mix),sky,theme,0.16666666666666666
Rocket In The Sky ,Lola's Theme (Main Mix),single,main,0.125
Rocket In The Sky ,Lola's Theme (Main Mix),single,mix,0.10526315789473684
Rocket In The Sky ,Lola's Theme (Main Mix),single,theme,0.25
Rocket In The Sky ,Lola's Theme (Main Mix),single,theme,0.25
Rocket In The Sky ,Lola's Theme (Main Mix),rocket,main,0.2857142857142857
Rocket In The Sky ,Lola's Theme (Main Mix),rocket,mix,0.23529411764705882
Rocket In The Sky ,Lola's Theme (Main Mix),rocket,theme,0.14285714285714285
Rocket In The Sky ,Lola's Theme (Main Mix),rocket,theme,0.14285714285714285
Rocket In The Sky ,Loneliness,sky,loneliness,0.14285714285714285
Rocket In The Sky ,Loneliness,sky,trance,0.14285714285714285
Rocket In The Sky ,Loneliness,sky,anthems,0.13333333333333333
Rocket In The Sky ,Loneliness,sky,euphoria,0.125
Rocket In The Sky ,Loneliness,sky,decade,0.15384615384615385
Rocket In The Sky ,Loneliness,rocket,loneliness,0.125
Rocket In The Sky ,Loneliness,rocket,trance,0.125
Rocket In The Sky ,Loneliness,rocket,anthems,0.11764705882352941
Rocket In The Sky ,Loneliness,rocket,euphoria,0.1111111111111111
Rocket In The Sky ,Loneliness,rocket,decade,0.13333333333333333
Rocket In The Sky ,Loneliness,sky,loneliness,0.14285714285714285
Rocket In The Sky ,Loneliness,sky,trance,0.14285714285714285
Rocket In The Sky ,Loneliness,sky,anthems,0.13333333333333333
Rocket In The Sky ,Loneliness,sky,euphoria,0.125
Rocket In The Sky ,Loneliness,sky,decade,0.15384615384615385
Rocket In The Sky ,Loneliness,single,loneliness,0.2222222222222222
Rocket In The Sky ,Loneliness,single,trance,0.2222222222222222
Rocket In The Sky ,Loneliness,single,anthems,0.21052631578947367
Rocket In The Sky ,Loneliness,single,euphoria,0.2
Rocket In The Sky ,Loneliness,single,decade,0.23529411764705882
Rocket In The Sky ,Loneliness,rocket,loneliness,0.125
Rocket In The Sky ,Loneliness,rocket,trance,0.125
Rocket In The Sky ,Loneliness,rocket,anthems,0.11764705882352941
Rocket In The Sky ,Loneliness,rocket,euphoria,0.1111111111111111
Rocket In The Sky ,Loneliness,rocket,decade,0.13333333333333333
Rocket In The Sky ,Need To Feel Loved,sky,feel,0.125
Rocket In The Sky ,Need To Feel Loved,sky,loved,0
Rocket In The Sky ,Need To Feel Loved,sky,need,0.15384615384615385
Rocket In The Sky ,Need To Feel Loved,sky,pure,0
Rocket In The Sky ,Need To Feel Loved,sky,trance,0.14285714285714285
Rocket In The Sky ,Need To Feel Loved,sky,anthems,0.13333333333333333
Rocket In The Sky ,Need To Feel Loved,rocket,feel,0.1111111111111111
Rocket In The Sky ,Need To Feel Loved,rocket,loved,0
Rocket In The Sky ,Need To Feel Loved,rocket,need,0.13333333333333333
Rocket In The Sky ,Need To Feel Loved,rocket,pure,0
Rocket In The Sky ,Need To Feel Loved,rocket,trance,0.125
Rocket In The Sky ,Need To Feel Loved,rocket,anthems,0.11764705882352941
Rocket In The Sky ,Need To Feel Loved,sky,feel,0.125
Rocket In The Sky ,Need To Feel Loved,sky,loved,0
Rocket In The Sky ,Need To Feel Loved,sky,need,0.15384615384615385
Rocket In The Sky ,Need To Feel Loved,sky,pure,0
Rocket In The Sky ,Need To Feel Loved,sky,trance,0.14285714285714285
Rocket In The Sky ,Need To Feel Loved,sky,anthems,0.13333333333333333
Rocket In The Sky ,Need To Feel Loved,single,feel,0.3
Rocket In The Sky ,Need To Feel Loved,single,loved,0
Rocket In The Sky ,Need To Feel Loved,single,need,0.23529411764705882
Rocket In The Sky ,Need To Feel Loved,single,pure,0
Rocket In The Sky ,Need To Feel Loved,single,trance,0.2222222222222222
Rocket In The Sky ,Need To Feel Loved,single,anthems,0.21052631578947367
Rocket In The Sky ,Need To Feel Loved,rocket,feel,0.1111111111111111
Rocket In The Sky ,Need To Feel Loved,rocket,loved,0
Rocket In The Sky ,Need To Feel Loved,rocket,need,0.13333333333333333
Rocket In The Sky ,Need To Feel Loved,rocket,pure,0
Rocket In The Sky ,Need To Feel Loved,rocket,trance,0.125
Rocket In The Sky ,Need To Feel Loved,rocket,anthems,0.11764705882352941
Rocket In The Sky ,Tell Me Why,sky,tell,0.2857142857142857
Rocket In The Sky ,Tell Me Why,sky,data,0.16666666666666666
Rocket In The Sky ,Tell Me Why,sky,records,0.15384615384615385
Rocket In The Sky ,Tell Me Why,sky,best,0.13333333333333333
