the_first_song,the_second_song,word1,word2,result
Rocket In The Sky ,O Hosanna,sky,hosanna,0.14285714285714285
Rocket In The Sky ,O Hosanna,sky,volume,0.18181818181818182
Rocket In The Sky ,O Hosanna,sky,songs,0.14285714285714285
Rocket In The Sky ,O Hosanna,rocket,hosanna,0.125
Rocket In The Sky ,O Hosanna,rocket,volume,0.15384615384615385
Rocket In The Sky ,O Hosanna,rocket,songs,0.125
Rocket In The Sky ,O Hosanna,sky,hosanna,0.14285714285714285
Rocket In The Sky ,O Hosanna,sky,volume,0.18181818181818182
Rocket In The Sky ,O Hosanna,sky,songs,0.14285714285714285
Rocket In The Sky ,O Hosanna,single,hosanna,0.2222222222222222
Rocket In The Sky ,O Hosanna,single,volume,0.26666666666666666
Rocket In The Sky ,O Hosanna,single,songs,0.2222222222222222
Rocket In The Sky ,O Hosanna,rocket,hosanna,0.125
Rocket In The Sky ,O Hosanna,rocket,volume,0.15384615384615385
Rocket In The Sky ,O Hosanna,rocket,songs,0.125
Rocket In The Sky ,Les derniers aventuriers,sky,last,0.15384615384615385
Rocket In The Sky ,Les derniers aventuriers,sky,adventurers,0.3333333333333333
Rocket In The Sky ,Les derniers aventuriers,sky,direction,0.2857142857142857
Rocket In The Sky ,Les derniers aventuriers,rocket,last,0.13333333333333333
Rocket In The Sky ,Les derniers aventuriers,rocket,adventurers,0.47058823529411764
Rocket In The Sky ,Les derniers aventuriers,rocket,direction,0.375
Rocket In The Sky ,Les derniers aventuriers,sky,last,0.15384615384615385
Rocket In The Sky ,Les derniers aventuriers,sky,adventurers,0.3333333333333333
Rocket In The Sky ,Les derniers aventuriers,sky,direction,0.2857142857142857
Rocket In The Sky ,Les derniers aventuriers,single,last,0.23529411764705882
Rocket In The Sky ,Les derniers aventuriers,single,adventurers,0.125
Rocket In The Sky ,Les derniers aventuriers,single,direction,0.1111111111111111
Rocket In The Sky ,Les derniers aventuriers,rocket,last,0.13333333333333333
Rocket In The Sky ,Les derniers aventuriers,rocket,adventurers,0.47058823529411764
Rocket In The Sky ,Les derniers aventuriers,rocket,direction,0.375
Rocket In The Sky ,Love Comes Tumbling,sky,love,0.14285714285714285
Rocket In The Sky ,Love Comes Tumbling,sky,comes,0.42857142857142855
Rocket In The Sky ,Love Comes Tumbling,sky,tumbling,0.11764705882352941
Rocket In The Sky ,Love Comes Tumbling,sky,wide,0
Rocket In The Sky ,Love Comes Tumbling,sky,awake,0
Rocket In The Sky ,Love Comes Tumbling,sky,america,0.23529411764705882
Rocket In The Sky ,Love Comes Tumbling,rocket,love,0.125
Rocket In The Sky ,Love Comes Tumbling,rocket,comes,0.25
Rocket In The Sky ,Love Comes Tumbling,rocket,tumbling,0.10526315789473684
Rocket In The Sky ,Love Comes Tumbling,rocket,wide,0
Rocket In The Sky ,Love Comes Tumbling,rocket,awake,0
Rocket In The Sky ,Love Comes Tumbling,rocket,america,0.3157894736842105
Rocket In The Sky ,Love Comes Tumbling,sky,love,0.14285714285714285
Rocket In The Sky ,Love Comes Tumbling,sky,comes,0.42857142857142855
Rocket In The Sky ,Love Comes Tumbling,sky,tumbling,0.11764705882352941
Rocket In The Sky ,Love Comes Tumbling,sky,wide,0
Rocket In The Sky ,Love Comes Tumbling,sky,awake,0
Rocket In The Sky ,Love Comes Tumbling,sky,america,0.23529411764705882
Rocket In The Sky ,Love Comes Tumbling,single,love,0.2222222222222222
Rocket In The Sky ,Love Comes Tumbling,single,comes,0.21052631578947367
Rocket In The Sky ,Love Comes Tumbling,single,tumbling,0.47619047619047616
Rocket In The Sky ,Love Comes Tumbling,single,wide,0
Rocket In The Sky ,Love Comes Tumbling,single,awake,0
Rocket In The Sky ,Love Comes Tumbling,single,america,0.09523809523809523
Rocket In The Sky ,Love Comes Tumbling,rocket,love,0.125
Rocket In The Sky ,Love Comes Tumbling,rocket,comes,0.25
Rocket In The Sky ,Love Comes Tumbling,rocket,tumbling,0.10526315789473684
Rocket In The Sky ,Love Comes Tumbling,rocket,wide,0
Rocket In The Sky ,Love Comes Tumbling,rocket,awake,0
Rocket In The Sky ,Love Comes Tumbling,rocket,america,0.3157894736842105
Rocket In The Sky ,Witch Doctor,sky,witch,0.3076923076923077
