the first song,the second song,word1,word2,result
1,2,cove,somebody,0.4
1,2,cove,love,0.15384615384615385
1,2,cove,worlds,0.3333333333333333
1,2,water,somebody,0.4
1,2,water,love,0.26666666666666666
1,2,water,worlds,0.3333333333333333
1,2,thicker,somebody,0
1,2,thicker,love,0
1,2,thicker,worlds,0
1,3,cove,somebody,0.4
1,3,cove,love,0.15384615384615385
1,3,water,somebody,0.4
1,3,water,love,0.26666666666666666
1,3,thicker,somebody,0
1,3,thicker,love,0
1,5,cove,original,0.3076923076923077
1,5,cove,instrumental,0
1,5,cove,mix,0.2857142857142857
1,5,cove,stuff,0.36363636363636365
1,5,cove,n,0.3333333333333333
1,5,cove,ghosts,0.125
1,5,cove,stuff,0.36363636363636365
1,5,cove,n,0.3333333333333333
1,5,cove,ghosts,0.125
1,5,water,original,0.3076923076923077
1,5,water,instrumental,0
1,5,water,mix,0.42857142857142855
1,5,water,stuff,0.75
1,5,water,n,0.6666666666666666
1,5,water,ghosts,0.2222222222222222
1,5,water,stuff,0.75
1,5,water,n,0.6666666666666666
1,5,water,ghosts,0.2222222222222222
1,5,thicker,original,0
1,5,thicker,instrumental,0
1,5,thicker,mix,0
1,5,thicker,stuff,0
1,5,thicker,n,0
1,5,thicker,ghosts,0
1,5,thicker,stuff,0
1,5,thicker,n,0
1,5,thicker,ghosts,0
1,6,cove,gone,0
1,6,cove,crazy,0.2857142857142857
1,6,cove,dad,0.23529411764705882
1,6,cove,show,0.13333333333333333
1,6,water,gone,0
1,6,water,crazy,0.2857142857142857
1,6,water,dad,0.23529411764705882
1,6,water,show,0.23529411764705882
1,6,thicker,gone,0
1,6,thicker,crazy,0
1,6,thicker,dad,0
1,6,thicker,show,0
1,7,cove,missing,0
1,7,cove,love,0.15384615384615385
1,7,water,missing,0
1,7,water,love,0.26666666666666666
1,7,thicker,missing,0
1,7,thicker,love,0
1,8,cove,nada,0.18181818181818182
1,8,cove,ultimate,0.18181818181818182
1,8,cove,hits,0.13333333333333333
1,8,cove,latino,0.3076923076923077
1,8,water,nada,0.3076923076923077
1,8,water,ultimate,0.3076923076923077
1,8,water,hits,0.23529411764705882
1,8,water,latino,0.3076923076923077
1,8,thicker,nada,0
1,8,thicker,ultimate,0
1,8,thicker,hits,0
1,8,thicker,latino,0
1,9,cove,real,0.15384615384615385
1,9,cove,slim,0
1,9,cove,shady,0
1,9,cove,curtain,0.2857142857142857
1,9,cove,call,0.25
1,9,water,real,0.26666666666666666
1,9,water,slim,0
1,9,water,shady,0
1,9,water,curtain,0.2857142857142857
1,9,water,call,0.25
1,9,thicker,real,0
1,9,thicker,slim,0
1,9,thicker,shady,0
1,9,thicker,curtain,0
1,9,thicker,call,0
1,10,cove,real,0.15384615384615385
1,10,cove,slim,0
1,10,cove,shady,0
1,10,cove,marshall,0.2857142857142857
1,10,cove,lp,0.2222222222222222
1,10,water,real,0.26666666666666666
1,10,water,slim,0
1,10,water,shady,0
1,10,water,marshall,0.2857142857142857
1,10,water,lp,0.2222222222222222
1,10,thicker,real,0
1,10,thicker,slim,0
1,10,thicker,shady,0
1,10,thicker,marshall,0
1,10,thicker,lp,0
1,11,cove,forgive,0
1,11,cove,b,0.25
1,11,cove,love,0.15384615384615385
1,11,cove,r,0.14285714285714285
1,11,water,forgive,0
1,11,water,b,0.25
1,11,water,love,0.26666666666666666
1,11,water,r,0.25
1,11,thicker,forgive,0
1,11,thicker,b,0
1,11,thicker,love,0
1,11,thicker,r,0
1,12,cove,sex,0.3333333333333333
1,12,water,sex,0.3333333333333333
1,12,thicker,sex,0
1,13,cove,say,0.14285714285714285
1,13,cove,name,0.16666666666666666
1,13,cove,writing,0.125
1,13,cove,wall,0.2857142857142857
1,13,water,say,0.25
1,13,water,name,0.5
1,13,water,writing,0.2222222222222222
1,13,water,wall,0.2857142857142857
1,13,thicker,say,0
1,13,thicker,name,0
1,13,thicker,writing,0
1,13,thicker,wall,0
1,14,cove,lose,0
1,14,cove,curtain,0.2857142857142857
1,14,cove,call,0.25
1,14,water,lose,0
1,14,water,curtain,0.2857142857142857
1,14,water,call,0.25
1,14,thicker,lose,0
1,14,thicker,curtain,0
1,14,thicker,call,0
1,15,cove,lose,0
1,15,cove,curtain,0.2857142857142857
1,15,cove,call,0.25
1,15,water,lose,0
1,15,water,curtain,0.2857142857142857
1,15,water,call,0.25
1,15,thicker,lose,0
1,15,thicker,curtain,0
1,15,thicker,call,0
1,16,cove,ho,0.3076923076923077
1,16,cove,fo,0.23529411764705882
1,16,water,ho,0.4444444444444444
1,16,water,fo,0.23529411764705882
1,16,thicker,ho,0
1,16,thicker,fo,0
1,17,cove,16,0.14285714285714285
1,17,cove,candles,0.25
1,17,water,16,0.25
1,17,water,candles,0.25
1,17,thicker,16,0
1,17,thicker,candles,0
2,2,nothing,somebody,0.2222222222222222
2,2,nothing,love,0.3333333333333333
2,2,nothing,worlds,0.18181818181818182
2,2,die,somebody,0.5333333333333333
2,2,die,love,0.13333333333333333
2,2,die,worlds,0.5714285714285714
2,3,nothing,somebody,0.2222222222222222
2,3,nothing,love,0.3333333333333333
2,3,die,somebody,0.5333333333333333
2,3,die,love,0.13333333333333333
2,5,nothing,original,0.16666666666666666
2,5,nothing,instrumental,0
2,5,nothing,mix,0.15384615384615385
2,5,nothing,stuff,0.36363636363636365
2,5,nothing,n,0.3333333333333333
2,5,nothing,ghosts,0.26666666666666666
2,5,nothing,stuff,0.36363636363636365
2,5,nothing,n,0.3333333333333333
2,5,nothing,ghosts,0.26666666666666666
2,5,die,original,0.6666666666666666
2,5,die,instrumental,0
